layer,beta,aperture,experiment,success_count,total_prompts,final_accuracy
0,0.5,0.001,1,0.0,1000.0,0.0
0,0.5,0.001,2,0.0,1000.0,0.0
0,0.5,0.001,3,1.0,1000.0,0.001
0,0.5,0.001,4,1.0,1000.0,0.001
0,0.5,0.001,5,0.0,1000.0,0.0
0,0.5,0.001,Average,,,0.0004
0,0.5,0.0125,1,0.0,1000.0,0.0
0,0.5,0.0125,2,0.0,1000.0,0.0
0,0.5,0.0125,3,1.0,1000.0,0.001
0,0.5,0.0125,4,1.0,1000.0,0.001
0,0.5,0.0125,5,0.0,1000.0,0.0
0,0.5,0.0125,Average,,,0.0004
0,0.5,0.05,1,0.0,1000.0,0.0
0,0.5,0.05,2,0.0,1000.0,0.0
0,0.5,0.05,3,2.0,1000.0,0.002
0,0.5,0.05,4,1.0,1000.0,0.001
0,0.5,0.05,5,0.0,1000.0,0.0
0,0.5,0.05,Average,,,0.0006000000000000001
0,0.5,0.1,1,0.0,1000.0,0.0
0,0.5,0.1,2,0.0,1000.0,0.0
0,0.5,0.1,3,0.0,1000.0,0.0
0,0.5,0.1,4,0.0,1000.0,0.0
0,0.5,0.1,5,0.0,1000.0,0.0
0,0.5,0.1,Average,,,0.0
0,1.0,0.001,1,0.0,1000.0,0.0
0,1.0,0.001,2,0.0,1000.0,0.0
0,1.0,0.001,3,1.0,1000.0,0.001
0,1.0,0.001,4,1.0,1000.0,0.001
0,1.0,0.001,5,0.0,1000.0,0.0
0,1.0,0.001,Average,,,0.0004
0,1.0,0.0125,1,1.0,1000.0,0.001
0,1.0,0.0125,2,0.0,1000.0,0.0
0,1.0,0.0125,3,1.0,1000.0,0.001
0,1.0,0.0125,4,1.0,1000.0,0.001
0,1.0,0.0125,5,1.0,1000.0,0.001
0,1.0,0.0125,Average,,,0.0008
0,1.0,0.05,1,1.0,1000.0,0.001
0,1.0,0.05,2,0.0,1000.0,0.0
0,1.0,0.05,3,2.0,1000.0,0.002
0,1.0,0.05,4,2.0,1000.0,0.002
0,1.0,0.05,5,0.0,1000.0,0.0
0,1.0,0.05,Average,,,0.001
0,1.0,0.1,1,0.0,1000.0,0.0
0,1.0,0.1,2,0.0,1000.0,0.0
0,1.0,0.1,3,0.0,1000.0,0.0
0,1.0,0.1,4,0.0,1000.0,0.0
0,1.0,0.1,5,0.0,1000.0,0.0
0,1.0,0.1,Average,,,0.0
0,2.0,0.001,1,0.0,1000.0,0.0
0,2.0,0.001,2,0.0,1000.0,0.0
0,2.0,0.001,3,1.0,1000.0,0.001
0,2.0,0.001,4,1.0,1000.0,0.001
0,2.0,0.001,5,0.0,1000.0,0.0
0,2.0,0.001,Average,,,0.0004
0,2.0,0.0125,1,1.0,1000.0,0.001
0,2.0,0.0125,2,0.0,1000.0,0.0
0,2.0,0.0125,3,1.0,1000.0,0.001
0,2.0,0.0125,4,0.0,1000.0,0.0
0,2.0,0.0125,5,1.0,1000.0,0.001
0,2.0,0.0125,Average,,,0.0006000000000000001
0,2.0,0.05,1,1.0,1000.0,0.001
0,2.0,0.05,2,0.0,1000.0,0.0
0,2.0,0.05,3,3.0,1000.0,0.003
0,2.0,0.05,4,2.0,1000.0,0.002
0,2.0,0.05,5,1.0,1000.0,0.001
0,2.0,0.05,Average,,,0.0014
0,2.0,0.1,1,0.0,1000.0,0.0
