layer,beta,experiment,success_count,total_prompts,final_accuracy
0,0.5,1,0.0,1000.0,0.0
0,0.5,2,0.0,1000.0,0.0
0,0.5,3,0.0,1000.0,0.0
0,0.5,4,1.0,1000.0,0.001
0,0.5,5,0.0,1000.0,0.0
0,0.5,Average,,,0.0002
0,1.0,1,0.0,1000.0,0.0
0,1.0,2,0.0,1000.0,0.0
0,1.0,3,0.0,1000.0,0.0
0,1.0,4,1.0,1000.0,0.001
0,1.0,5,0.0,1000.0,0.0
0,1.0,Average,,,0.0002
0,2.0,1,0.0,1000.0,0.0
0,2.0,2,0.0,1000.0,0.0
0,2.0,3,0.0,1000.0,0.0
0,2.0,4,1.0,1000.0,0.001
0,2.0,5,0.0,1000.0,0.0
0,2.0,Average,,,0.0002
0,3.0,1,0.0,1000.0,0.0
0,3.0,2,0.0,1000.0,0.0
0,3.0,3,0.0,1000.0,0.0
0,3.0,4,1.0,1000.0,0.001
0,3.0,5,0.0,1000.0,0.0
0,3.0,Average,,,0.0002
0,4.0,1,0.0,1000.0,0.0
0,4.0,2,0.0,1000.0,0.0
0,4.0,3,0.0,1000.0,0.0
0,4.0,4,1.0,1000.0,0.001
0,4.0,5,0.0,1000.0,0.0
0,4.0,Average,,,0.0002
0,5.0,1,0.0,1000.0,0.0
0,5.0,2,0.0,1000.0,0.0
0,5.0,3,0.0,1000.0,0.0
0,5.0,4,1.0,1000.0,0.001
0,5.0,5,0.0,1000.0,0.0
0,5.0,Average,,,0.0002
1,0.5,1,0.0,1000.0,0.0
1,0.5,2,0.0,1000.0,0.0
1,0.5,3,0.0,1000.0,0.0
1,0.5,4,0.0,1000.0,0.0
1,0.5,5,0.0,1000.0,0.0
1,0.5,Average,,,0.0
1,1.0,1,0.0,1000.0,0.0
1,1.0,2,0.0,1000.0,0.0
1,1.0,3,0.0,1000.0,0.0
1,1.0,4,0.0,1000.0,0.0
1,1.0,5,0.0,1000.0,0.0
1,1.0,Average,,,0.0
1,2.0,1,0.0,1000.0,0.0
1,2.0,2,0.0,1000.0,0.0
1,2.0,3,0.0,1000.0,0.0
1,2.0,4,0.0,1000.0,0.0
1,2.0,5,0.0,1000.0,0.0
1,2.0,Average,,,0.0
1,3.0,1,0.0,1000.0,0.0
1,3.0,2,0.0,1000.0,0.0
1,3.0,3,0.0,1000.0,0.0
1,3.0,4,0.0,1000.0,0.0
1,3.0,5,0.0,1000.0,0.0
1,3.0,Average,,,0.0
1,4.0,1,0.0,1000.0,0.0
1,4.0,2,0.0,1000.0,0.0
1,4.0,3,0.0,1000.0,0.0
1,4.0,4,0.0,1000.0,0.0
1,4.0,5,0.0,1000.0,0.0
1,4.0,Average,,,0.0
1,5.0,1,0.0,1000.0,0.0
1,5.0,2,0.0,1000.0,0.0
1,5.0,3,0.0,1000.0,0.0
1,5.0,4,0.0,1000.0,0.0
1,5.0,5,0.0,1000.0,0.0
1,5.0,Average,,,0.0
2,0.5,1,0.0,1000.0,0.0
2,0.5,2,0.0,1000.0,0.0
2,0.5,3,0.0,1000.0,0.0
2,0.5,4,0.0,1000.0,0.0
2,0.5,5,0.0,1000.0,0.0
2,0.5,Average,,,0.0
2,1.0,1,0.0,1000.0,0.0
2,1.0,2,0.0,1000.0,0.0
2,1.0,3,0.0,1000.0,0.0
2,1.0,4,0.0,1000.0,0.0
2,1.0,5,0.0,1000.0,0.0
2,1.0,Average,,,0.0
2,2.0,1,0.0,1000.0,0.0
2,2.0,2,0.0,1000.0,0.0
2,2.0,3,0.0,1000.0,0.0
2,2.0,4,0.0,1000.0,0.0
2,2.0,5,0.0,1000.0,0.0
2,2.0,Average,,,0.0
2,3.0,1,0.0,1000.0,0.0
2,3.0,2,0.0,1000.0,0.0
2,3.0,3,0.0,1000.0,0.0
2,3.0,4,0.0,1000.0,0.0
2,3.0,5,0.0,1000.0,0.0
2,3.0,Average,,,0.0
2,4.0,1,0.0,1000.0,0.0
2,4.0,2,0.0,1000.0,0.0
2,4.0,3,0.0,1000.0,0.0
2,4.0,4,0.0,1000.0,0.0
2,4.0,5,0.0,1000.0,0.0
2,4.0,Average,,,0.0
2,5.0,1,0.0,1000.0,0.0
2,5.0,2,0.0,1000.0,0.0
2,5.0,3,0.0,1000.0,0.0
2,5.0,4,0.0,1000.0,0.0
2,5.0,5,0.0,1000.0,0.0
2,5.0,Average,,,0.0
3,0.5,1,0.0,1000.0,0.0
3,0.5,2,0.0,1000.0,0.0
3,0.5,3,0.0,1000.0,0.0
3,0.5,4,0.0,1000.0,0.0
3,0.5,5,0.0,1000.0,0.0
3,0.5,Average,,,0.0
3,1.0,1,0.0,1000.0,0.0
3,1.0,2,0.0,1000.0,0.0
3,1.0,3,0.0,1000.0,0.0
3,1.0,4,0.0,1000.0,0.0
3,1.0,5,0.0,1000.0,0.0
3,1.0,Average,,,0.0
3,2.0,1,0.0,1000.0,0.0
3,2.0,2,0.0,1000.0,0.0
3,2.0,3,0.0,1000.0,0.0
3,2.0,4,0.0,1000.0,0.0
3,2.0,5,0.0,1000.0,0.0
3,2.0,Average,,,0.0
3,3.0,1,0.0,1000.0,0.0
3,3.0,2,0.0,1000.0,0.0
3,3.0,3,0.0,1000.0,0.0
3,3.0,4,0.0,1000.0,0.0
3,3.0,5,0.0,1000.0,0.0
3,3.0,Average,,,0.0
3,4.0,1,0.0,1000.0,0.0
3,4.0,2,0.0,1000.0,0.0
3,4.0,3,0.0,1000.0,0.0
3,4.0,4,0.0,1000.0,0.0
3,4.0,5,0.0,1000.0,0.0
3,4.0,Average,,,0.0
3,5.0,1,1.0,1000.0,0.001
3,5.0,2,0.0,1000.0,0.0
3,5.0,3,0.0,1000.0,0.0
3,5.0,4,0.0,1000.0,0.0
3,5.0,5,1.0,1000.0,0.001
3,5.0,Average,,,0.0004
4,0.5,1,0.0,1000.0,0.0
4,0.5,2,0.0,1000.0,0.0
4,0.5,3,0.0,1000.0,0.0
4,0.5,4,0.0,1000.0,0.0
4,0.5,5,0.0,1000.0,0.0
4,0.5,Average,,,0.0
4,1.0,1,0.0,1000.0,0.0
4,1.0,2,0.0,1000.0,0.0
4,1.0,3,0.0,1000.0,0.0
4,1.0,4,0.0,1000.0,0.0
4,1.0,5,0.0,1000.0,0.0
4,1.0,Average,,,0.0
4,2.0,1,0.0,1000.0,0.0
4,2.0,2,0.0,1000.0,0.0
4,2.0,3,0.0,1000.0,0.0
4,2.0,4,0.0,1000.0,0.0
4,2.0,5,0.0,1000.0,0.0
4,2.0,Average,,,0.0
4,3.0,1,0.0,1000.0,0.0
4,3.0,2,0.0,1000.0,0.0
4,3.0,3,1.0,1000.0,0.001
4,3.0,4,2.0,1000.0,0.002
4,3.0,5,0.0,1000.0,0.0
4,3.0,Average,,,0.0006000000000000001
4,4.0,1,1.0,1000.0,0.001
4,4.0,2,0.0,1000.0,0.0
4,4.0,3,4.0,1000.0,0.004
4,4.0,4,4.0,1000.0,0.004
4,4.0,5,2.0,1000.0,0.002
4,4.0,Average,,,0.0022
4,5.0,1,3.0,1000.0,0.003
4,5.0,2,0.0,1000.0,0.0
4,5.0,3,6.0,1000.0,0.006
4,5.0,4,5.0,1000.0,0.005
4,5.0,5,4.0,1000.0,0.004
4,5.0,Average,,,0.0036000000000000003
5,0.5,1,0.0,1000.0,0.0
5,0.5,2,0.0,1000.0,0.0
5,0.5,3,0.0,1000.0,0.0
5,0.5,4,1.0,1000.0,0.001
5,0.5,5,0.0,1000.0,0.0
5,0.5,Average,,,0.0002
5,1.0,1,0.0,1000.0,0.0
5,1.0,2,0.0,1000.0,0.0
5,1.0,3,0.0,1000.0,0.0
5,1.0,4,1.0,1000.0,0.001
5,1.0,5,0.0,1000.0,0.0
5,1.0,Average,,,0.0002
5,2.0,1,2.0,1000.0,0.002
5,2.0,2,0.0,1000.0,0.0
5,2.0,3,3.0,1000.0,0.003
5,2.0,4,3.0,1000.0,0.003
5,2.0,5,2.0,1000.0,0.002
5,2.0,Average,,,0.002
5,3.0,1,10.0,1000.0,0.01
5,3.0,2,7.0,1000.0,0.007
5,3.0,3,11.0,1000.0,0.011
5,3.0,4,11.0,1000.0,0.011
5,3.0,5,10.0,1000.0,0.01
5,3.0,Average,,,0.0098
5,4.0,1,44.0,1000.0,0.044
5,4.0,2,29.0,1000.0,0.029
5,4.0,3,43.0,1000.0,0.043
5,4.0,4,35.0,1000.0,0.035
5,4.0,5,36.0,1000.0,0.036
5,4.0,Average,,,0.0374
5,5.0,1,85.0,1000.0,0.085
5,5.0,2,68.0,1000.0,0.068
5,5.0,3,85.0,1000.0,0.085
5,5.0,4,78.0,1000.0,0.078
5,5.0,5,69.0,1000.0,0.069
5,5.0,Average,,,0.07700000000000001
6,0.5,1,0.0,1000.0,0.0
6,0.5,2,0.0,1000.0,0.0
6,0.5,3,0.0,1000.0,0.0
6,0.5,4,1.0,1000.0,0.001
6,0.5,5,0.0,1000.0,0.0
6,0.5,Average,,,0.0002
6,1.0,1,0.0,1000.0,0.0
6,1.0,2,0.0,1000.0,0.0
6,1.0,3,0.0,1000.0,0.0
6,1.0,4,1.0,1000.0,0.001
6,1.0,5,0.0,1000.0,0.0
6,1.0,Average,,,0.0002
6,2.0,1,2.0,1000.0,0.002
6,2.0,2,0.0,1000.0,0.0
6,2.0,3,4.0,1000.0,0.004
6,2.0,4,5.0,1000.0,0.005
6,2.0,5,4.0,1000.0,0.004
6,2.0,Average,,,0.003
6,3.0,1,14.0,1000.0,0.014
6,3.0,2,10.0,1000.0,0.01
6,3.0,3,16.0,1000.0,0.016
6,3.0,4,15.0,1000.0,0.015
6,3.0,5,11.0,1000.0,0.011
6,3.0,Average,,,0.0132
6,4.0,1,54.0,1000.0,0.054
6,4.0,2,49.0,1000.0,0.049
6,4.0,3,59.0,1000.0,0.059
6,4.0,4,49.0,1000.0,0.049
6,4.0,5,43.0,1000.0,0.043
6,4.0,Average,,,0.0508
6,5.0,1,100.0,1000.0,0.1
6,5.0,2,100.0,1000.0,0.1
6,5.0,3,104.0,1000.0,0.104
6,5.0,4,100.0,1000.0,0.1
6,5.0,5,89.0,1000.0,0.089
6,5.0,Average,,,0.0986
7,0.5,1,0.0,1000.0,0.0
7,0.5,2,0.0,1000.0,0.0
7,0.5,3,0.0,1000.0,0.0
7,0.5,4,1.0,1000.0,0.001
7,0.5,5,0.0,1000.0,0.0
7,0.5,Average,,,0.0002
7,1.0,1,0.0,1000.0,0.0
7,1.0,2,0.0,1000.0,0.0
7,1.0,3,1.0,1000.0,0.001
7,1.0,4,2.0,1000.0,0.002
7,1.0,5,0.0,1000.0,0.0
7,1.0,Average,,,0.0006000000000000001
7,2.0,1,45.0,1000.0,0.045
7,2.0,2,30.0,1000.0,0.03
