layer,beta,experiment,success_count,total_prompts,final_accuracy
0,0.5,1,4.0,1000.0,0.004
0,0.5,2,0.0,1000.0,0.0
0,0.5,3,6.0,1000.0,0.006
0,0.5,4,2.0,1000.0,0.002
0,0.5,5,0.0,1000.0,0.0
0,0.5,Average,,,0.0024000000000000002
0,1.0,1,4.0,1000.0,0.004
0,1.0,2,0.0,1000.0,0.0
0,1.0,3,6.0,1000.0,0.006
0,1.0,4,2.0,1000.0,0.002
0,1.0,5,0.0,1000.0,0.0
0,1.0,Average,,,0.0024000000000000002
0,2.0,1,4.0,1000.0,0.004
0,2.0,2,0.0,1000.0,0.0
0,2.0,3,6.0,1000.0,0.006
0,2.0,4,2.0,1000.0,0.002
0,2.0,5,0.0,1000.0,0.0
0,2.0,Average,,,0.0024000000000000002
0,3.0,1,4.0,1000.0,0.004
0,3.0,2,0.0,1000.0,0.0
0,3.0,3,6.0,1000.0,0.006
0,3.0,4,2.0,1000.0,0.002
0,3.0,5,0.0,1000.0,0.0
0,3.0,Average,,,0.0024000000000000002
0,4.0,1,4.0,1000.0,0.004
0,4.0,2,0.0,1000.0,0.0
0,4.0,3,6.0,1000.0,0.006
0,4.0,4,2.0,1000.0,0.002
0,4.0,5,0.0,1000.0,0.0
0,4.0,Average,,,0.0024000000000000002
0,5.0,1,4.0,1000.0,0.004
0,5.0,2,0.0,1000.0,0.0
0,5.0,3,6.0,1000.0,0.006
0,5.0,4,2.0,1000.0,0.002
0,5.0,5,0.0,1000.0,0.0
0,5.0,Average,,,0.0024000000000000002
1,0.5,1,0.0,1000.0,0.0
1,0.5,2,0.0,1000.0,0.0
1,0.5,3,0.0,1000.0,0.0
1,0.5,4,0.0,1000.0,0.0
1,0.5,5,0.0,1000.0,0.0
1,0.5,Average,,,0.0
1,1.0,1,0.0,1000.0,0.0
1,1.0,2,0.0,1000.0,0.0
1,1.0,3,0.0,1000.0,0.0
1,1.0,4,0.0,1000.0,0.0
1,1.0,5,0.0,1000.0,0.0
1,1.0,Average,,,0.0
1,2.0,1,0.0,1000.0,0.0
1,2.0,2,0.0,1000.0,0.0
1,2.0,3,0.0,1000.0,0.0
1,2.0,4,0.0,1000.0,0.0
1,2.0,5,0.0,1000.0,0.0
1,2.0,Average,,,0.0
1,3.0,1,0.0,1000.0,0.0
1,3.0,2,0.0,1000.0,0.0
1,3.0,3,0.0,1000.0,0.0
1,3.0,4,0.0,1000.0,0.0
1,3.0,5,0.0,1000.0,0.0
1,3.0,Average,,,0.0
1,4.0,1,0.0,1000.0,0.0
1,4.0,2,0.0,1000.0,0.0
1,4.0,3,0.0,1000.0,0.0
1,4.0,4,0.0,1000.0,0.0
1,4.0,5,0.0,1000.0,0.0
1,4.0,Average,,,0.0
1,5.0,1,0.0,1000.0,0.0
1,5.0,2,0.0,1000.0,0.0
1,5.0,3,0.0,1000.0,0.0
1,5.0,4,0.0,1000.0,0.0
1,5.0,5,0.0,1000.0,0.0
1,5.0,Average,,,0.0
2,0.5,1,0.0,1000.0,0.0
2,0.5,2,0.0,1000.0,0.0
2,0.5,3,0.0,1000.0,0.0
2,0.5,4,0.0,1000.0,0.0
2,0.5,5,0.0,1000.0,0.0
2,0.5,Average,,,0.0
2,1.0,1,0.0,1000.0,0.0
2,1.0,2,0.0,1000.0,0.0
2,1.0,3,0.0,1000.0,0.0
2,1.0,4,0.0,1000.0,0.0
2,1.0,5,0.0,1000.0,0.0
2,1.0,Average,,,0.0
2,2.0,1,0.0,1000.0,0.0
2,2.0,2,0.0,1000.0,0.0
2,2.0,3,0.0,1000.0,0.0
2,2.0,4,0.0,1000.0,0.0
2,2.0,5,0.0,1000.0,0.0
2,2.0,Average,,,0.0
2,3.0,1,0.0,1000.0,0.0
2,3.0,2,0.0,1000.0,0.0
2,3.0,3,0.0,1000.0,0.0
2,3.0,4,0.0,1000.0,0.0
2,3.0,5,0.0,1000.0,0.0
2,3.0,Average,,,0.0
2,4.0,1,0.0,1000.0,0.0
