layer,beta,aperture,experiment,success_count,total_prompts,final_accuracy
0,0.5,0.001,1,2.0,1000.0,0.002
0,0.5,0.001,2,3.0,1000.0,0.003
0,0.5,0.001,3,2.0,1000.0,0.002
0,0.5,0.001,4,4.0,1000.0,0.004
0,0.5,0.001,5,4.0,1000.0,0.004
0,0.5,0.001,Average,,,0.003
0,0.5,0.0125,1,2.0,1000.0,0.002
0,0.5,0.0125,2,3.0,1000.0,0.003
0,0.5,0.0125,3,2.0,1000.0,0.002
0,0.5,0.0125,4,4.0,1000.0,0.004
0,0.5,0.0125,5,4.0,1000.0,0.004
0,0.5,0.0125,Average,,,0.003
0,0.5,0.05,1,0.0,1000.0,0.0
0,0.5,0.05,2,0.0,1000.0,0.0
0,0.5,0.05,3,0.0,1000.0,0.0
0,0.5,0.05,4,0.0,1000.0,0.0
0,0.5,0.05,5,0.0,1000.0,0.0
0,0.5,0.05,Average,,,0.0
0,0.5,0.1,1,0.0,1000.0,0.0
0,0.5,0.1,2,0.0,1000.0,0.0
0,0.5,0.1,3,0.0,1000.0,0.0
0,0.5,0.1,4,0.0,1000.0,0.0
0,0.5,0.1,5,0.0,1000.0,0.0
0,0.5,0.1,Average,,,0.0
0,1.0,0.001,1,2.0,1000.0,0.002
0,1.0,0.001,2,3.0,1000.0,0.003
0,1.0,0.001,3,2.0,1000.0,0.002
0,1.0,0.001,4,4.0,1000.0,0.004
0,1.0,0.001,5,4.0,1000.0,0.004
0,1.0,0.001,Average,,,0.003
0,1.0,0.0125,1,3.0,1000.0,0.003
0,1.0,0.0125,2,4.0,1000.0,0.004
0,1.0,0.0125,3,2.0,1000.0,0.002
0,1.0,0.0125,4,1.0,1000.0,0.001
0,1.0,0.0125,5,1.0,1000.0,0.001
0,1.0,0.0125,Average,,,0.0022000000000000006
0,1.0,0.05,1,0.0,1000.0,0.0
0,1.0,0.05,2,0.0,1000.0,0.0
0,1.0,0.05,3,0.0,1000.0,0.0
0,1.0,0.05,4,0.0,1000.0,0.0
0,1.0,0.05,5,0.0,1000.0,0.0
0,1.0,0.05,Average,,,0.0
0,1.0,0.1,1,3.0,1000.0,0.003
0,1.0,0.1,2,5.0,1000.0,0.005
0,1.0,0.1,3,4.0,1000.0,0.004
0,1.0,0.1,4,4.0,1000.0,0.004
0,1.0,0.1,5,6.0,1000.0,0.006
0,1.0,0.1,Average,,,0.004399999999999999
0,2.0,0.001,1,2.0,1000.0,0.002
0,2.0,0.001,2,3.0,1000.0,0.003
0,2.0,0.001,3,2.0,1000.0,0.002
0,2.0,0.001,4,4.0,1000.0,0.004
0,2.0,0.001,5,4.0,1000.0,0.004
0,2.0,0.001,Average,,,0.003
0,2.0,0.0125,1,0.0,1000.0,0.0
0,2.0,0.0125,2,0.0,1000.0,0.0
0,2.0,0.0125,3,0.0,1000.0,0.0
0,2.0,0.0125,4,0.0,1000.0,0.0
0,2.0,0.0125,5,0.0,1000.0,0.0
0,2.0,0.0125,Average,,,0.0
0,2.0,0.05,1,0.0,1000.0,0.0
0,2.0,0.05,2,0.0,1000.0,0.0
0,2.0,0.05,3,0.0,1000.0,0.0
0,2.0,0.05,4,0.0,1000.0,0.0
0,2.0,0.05,5,0.0,1000.0,0.0
0,2.0,0.05,Average,,,0.0
0,2.0,0.1,1,0.0,1000.0,0.0
0,2.0,0.1,2,0.0,1000.0,0.0
0,2.0,0.1,3,0.0,1000.0,0.0
0,2.0,0.1,4,0.0,1000.0,0.0
0,2.0,0.1,5,0.0,1000.0,0.0
0,2.0,0.1,Average,,,0.0
0,3.0,0.001,1,2.0,1000.0,0.002
0,3.0,0.001,2,3.0,1000.0,0.003
0,3.0,0.001,3,2.0,1000.0,0.002
0,3.0,0.001,4,4.0,1000.0,0.004
0,3.0,0.001,5,4.0,1000.0,0.004
0,3.0,0.001,Average,,,0.003
0,3.0,0.0125,1,0.0,1000.0,0.0
0,3.0,0.0125,2,0.0,1000.0,0.0
0,3.0,0.0125,3,0.0,1000.0,0.0
0,3.0,0.0125,4,0.0,1000.0,0.0
0,3.0,0.0125,5,0.0,1000.0,0.0
0,3.0,0.0125,Average,,,0.0
0,3.0,0.05,1,3.0,1000.0,0.003
0,3.0,0.05,2,5.0,1000.0,0.005
0,3.0,0.05,3,4.0,1000.0,0.004
0,3.0,0.05,4,4.0,1000.0,0.004
0,3.0,0.05,5,6.0,1000.0,0.006
0,3.0,0.05,Average,,,0.004399999999999999
0,3.0,0.1,1,0.0,1000.0,0.0
0,3.0,0.1,2,0.0,1000.0,0.0
0,3.0,0.1,3,0.0,1000.0,0.0
0,3.0,0.1,4,0.0,1000.0,0.0
0,3.0,0.1,5,0.0,1000.0,0.0
0,3.0,0.1,Average,,,0.0
0,4.0,0.001,1,2.0,1000.0,0.002
0,4.0,0.001,2,3.0,1000.0,0.003
0,4.0,0.001,3,2.0,1000.0,0.002
0,4.0,0.001,4,4.0,1000.0,0.004
0,4.0,0.001,5,4.0,1000.0,0.004
0,4.0,0.001,Average,,,0.003
0,4.0,0.0125,1,0.0,1000.0,0.0
0,4.0,0.0125,2,0.0,1000.0,0.0
0,4.0,0.0125,3,0.0,1000.0,0.0
0,4.0,0.0125,4,0.0,1000.0,0.0
0,4.0,0.0125,5,0.0,1000.0,0.0
0,4.0,0.0125,Average,,,0.0
0,4.0,0.05,1,0.0,1000.0,0.0
0,4.0,0.05,2,0.0,1000.0,0.0
0,4.0,0.05,3,0.0,1000.0,0.0
0,4.0,0.05,4,0.0,1000.0,0.0
0,4.0,0.05,5,0.0,1000.0,0.0
0,4.0,0.05,Average,,,0.0
0,4.0,0.1,1,0.0,1000.0,0.0
0,4.0,0.1,2,0.0,1000.0,0.0
0,4.0,0.1,3,0.0,1000.0,0.0
0,4.0,0.1,4,0.0,1000.0,0.0
0,4.0,0.1,5,0.0,1000.0,0.0
0,4.0,0.1,Average,,,0.0
0,5.0,0.001,1,2.0,1000.0,0.002
0,5.0,0.001,2,3.0,1000.0,0.003
0,5.0,0.001,3,2.0,1000.0,0.002
0,5.0,0.001,4,4.0,1000.0,0.004
0,5.0,0.001,5,4.0,1000.0,0.004
0,5.0,0.001,Average,,,0.003
0,5.0,0.0125,1,0.0,1000.0,0.0
0,5.0,0.0125,2,0.0,1000.0,0.0
0,5.0,0.0125,3,0.0,1000.0,0.0
0,5.0,0.0125,4,0.0,1000.0,0.0
0,5.0,0.0125,5,0.0,1000.0,0.0
0,5.0,0.0125,Average,,,0.0
0,5.0,0.05,1,0.0,1000.0,0.0
0,5.0,0.05,2,0.0,1000.0,0.0
0,5.0,0.05,3,0.0,1000.0,0.0
0,5.0,0.05,4,0.0,1000.0,0.0
0,5.0,0.05,5,0.0,1000.0,0.0
0,5.0,0.05,Average,,,0.0
0,5.0,0.1,1,0.0,1000.0,0.0
0,5.0,0.1,2,0.0,1000.0,0.0
0,5.0,0.1,3,0.0,1000.0,0.0
0,5.0,0.1,4,0.0,1000.0,0.0
0,5.0,0.1,5,0.0,1000.0,0.0
0,5.0,0.1,Average,,,0.0
1,0.5,0.001,1,11.0,1000.0,0.011
1,0.5,0.001,2,7.0,1000.0,0.007
1,0.5,0.001,3,8.0,1000.0,0.008
1,0.5,0.001,4,4.0,1000.0,0.004
1,0.5,0.001,5,8.0,1000.0,0.008
1,0.5,0.001,Average,,,0.0076
1,0.5,0.0125,1,6.0,1000.0,0.006
1,0.5,0.0125,2,3.0,1000.0,0.003
1,0.5,0.0125,3,3.0,1000.0,0.003
1,0.5,0.0125,4,6.0,1000.0,0.006
1,0.5,0.0125,5,5.0,1000.0,0.005
1,0.5,0.0125,Average,,,0.004600000000000001
1,0.5,0.05,1,3.0,1000.0,0.003
1,0.5,0.05,2,3.0,1000.0,0.003
1,0.5,0.05,3,3.0,1000.0,0.003
1,0.5,0.05,4,2.0,1000.0,0.002
1,0.5,0.05,5,1.0,1000.0,0.001
1,0.5,0.05,Average,,,0.0024000000000000002
1,0.5,0.1,1,0.0,1000.0,0.0
1,0.5,0.1,2,0.0,1000.0,0.0
1,0.5,0.1,3,0.0,1000.0,0.0
1,0.5,0.1,4,0.0,1000.0,0.0
1,0.5,0.1,5,0.0,1000.0,0.0
1,0.5,0.1,Average,,,0.0
1,1.0,0.001,1,11.0,1000.0,0.011
1,1.0,0.001,2,7.0,1000.0,0.007
1,1.0,0.001,3,8.0,1000.0,0.008
1,1.0,0.001,4,4.0,1000.0,0.004
1,1.0,0.001,5,8.0,1000.0,0.008
1,1.0,0.001,Average,,,0.0076
1,1.0,0.0125,1,4.0,1000.0,0.004
1,1.0,0.0125,2,1.0,1000.0,0.001
1,1.0,0.0125,3,4.0,1000.0,0.004
1,1.0,0.0125,4,6.0,1000.0,0.006
1,1.0,0.0125,5,4.0,1000.0,0.004
1,1.0,0.0125,Average,,,0.0038000000000000004
1,1.0,0.05,1,0.0,1000.0,0.0
1,1.0,0.05,2,0.0,1000.0,0.0
1,1.0,0.05,3,0.0,1000.0,0.0
1,1.0,0.05,4,0.0,1000.0,0.0
1,1.0,0.05,5,0.0,1000.0,0.0
1,1.0,0.05,Average,,,0.0
1,1.0,0.1,1,0.0,1000.0,0.0
1,1.0,0.1,2,0.0,1000.0,0.0
1,1.0,0.1,3,0.0,1000.0,0.0
1,1.0,0.1,4,0.0,1000.0,0.0
1,1.0,0.1,5,0.0,1000.0,0.0
