layer,beta,aperture,experiment,success_count,total_prompts,final_accuracy
1,0.5,0.001,1,7.0,1000.0,0.007
1,0.5,0.001,2,5.0,1000.0,0.005
1,0.5,0.001,3,7.0,1000.0,0.007
1,0.5,0.001,4,0.0,1000.0,0.0
1,0.5,0.001,5,3.0,1000.0,0.003
1,0.5,0.001,Average,,,0.0043999999999999
1,0.5,0.0125,1,0.0,1000.0,0.0
1,0.5,0.0125,2,0.0,1000.0,0.0
1,0.5,0.0125,3,0.0,1000.0,0.0
1,0.5,0.0125,4,0.0,1000.0,0.0
1,0.5,0.0125,5,0.0,1000.0,0.0
1,0.5,0.0125,Average,,,0.0
1,0.5,0.05,1,4.0,1000.0,0.004
1,0.5,0.05,2,9.0,1000.0,0.009
1,0.5,0.05,3,5.0,1000.0,0.005
1,0.5,0.05,4,3.0,1000.0,0.003
1,0.5,0.05,5,4.0,1000.0,0.004
1,0.5,0.05,Average,,,0.0049999999999999
1,0.5,0.1,1,0.0,1000.0,0.0
1,0.5,0.1,2,0.0,1000.0,0.0
1,0.5,0.1,3,5.0,1000.0,0.005
1,0.5,0.1,4,3.0,1000.0,0.003
1,0.5,0.1,5,0.0,1000.0,0.0
1,0.5,0.1,Average,,,0.0016
1,1.0,0.001,1,7.0,1000.0,0.007
1,1.0,0.001,2,5.0,1000.0,0.005
1,1.0,0.001,3,7.0,1000.0,0.007
1,1.0,0.001,4,4.0,1000.0,0.004
1,1.0,0.001,5,3.0,1000.0,0.003
1,1.0,0.001,Average,,,0.0052
1,1.0,0.0125,1,0.0,1000.0,0.0
1,1.0,0.0125,2,0.0,1000.0,0.0
1,1.0,0.0125,3,0.0,1000.0,0.0
1,1.0,0.0125,4,0.0,1000.0,0.0
1,1.0,0.0125,5,0.0,1000.0,0.0
1,1.0,0.0125,Average,,,0.0
1,1.0,0.05,1,0.0,1000.0,0.0
1,1.0,0.05,2,0.0,1000.0,0.0
1,1.0,0.05,3,0.0,1000.0,0.0
1,1.0,0.05,4,0.0,1000.0,0.0
1,1.0,0.05,5,0.0,1000.0,0.0
1,1.0,0.05,Average,,,0.0
1,1.0,0.1,1,0.0,1000.0,0.0
1,1.0,0.1,2,0.0,1000.0,0.0
1,1.0,0.1,3,0.0,1000.0,0.0
1,1.0,0.1,4,0.0,1000.0,0.0
1,1.0,0.1,5,0.0,1000.0,0.0
1,1.0,0.1,Average,,,0.0
1,2.0,0.001,1,0.0,1000.0,0.0
1,2.0,0.001,2,0.0,1000.0,0.0
1,2.0,0.001,3,0.0,1000.0,0.0
1,2.0,0.001,4,0.0,1000.0,0.0
1,2.0,0.001,5,0.0,1000.0,0.0
1,2.0,0.001,Average,,,0.0
1,2.0,0.0125,1,0.0,1000.0,0.0
1,2.0,0.0125,2,0.0,1000.0,0.0
1,2.0,0.0125,3,0.0,1000.0,0.0
1,2.0,0.0125,4,0.0,1000.0,0.0
1,2.0,0.0125,5,0.0,1000.0,0.0
1,2.0,0.0125,Average,,,0.0
1,2.0,0.05,1,0.0,1000.0,0.0
1,2.0,0.05,2,0.0,1000.0,0.0
1,2.0,0.05,3,0.0,1000.0,0.0
1,2.0,0.05,4,0.0,1000.0,0.0
1,2.0,0.05,5,0.0,1000.0,0.0
1,2.0,0.05,Average,,,0.0
1,2.0,0.1,1,0.0,1000.0,0.0
1,2.0,0.1,2,0.0,1000.0,0.0
1,2.0,0.1,3,0.0,1000.0,0.0
1,2.0,0.1,4,0.0,1000.0,0.0
1,2.0,0.1,5,0.0,1000.0,0.0
1,2.0,0.1,Average,,,0.0
1,3.0,0.001,1,6.0,1000.0,0.006
1,3.0,0.001,2,7.0,1000.0,0.007
1,3.0,0.001,3,6.0,1000.0,0.006
1,3.0,0.001,4,5.0,1000.0,0.005
1,3.0,0.001,5,4.0,1000.0,0.004
1,3.0,0.001,Average,,,0.0056
1,3.0,0.0125,1,0.0,1000.0,0.0
1,3.0,0.0125,2,0.0,1000.0,0.0
1,3.0,0.0125,3,0.0,1000.0,0.0
1,3.0,0.0125,4,0.0,1000.0,0.0
1,3.0,0.0125,5,0.0,1000.0,0.0
1,3.0,0.0125,Average,,,0.0
1,3.0,0.05,1,0.0,1000.0,0.0
1,3.0,0.05,2,0.0,1000.0,0.0
1,3.0,0.05,3,0.0,1000.0,0.0
1,3.0,0.05,4,0.0,1000.0,0.0
1,3.0,0.05,5,0.0,1000.0,0.0
1,3.0,0.05,Average,,,0.0
1,3.0,0.1,1,0.0,1000.0,0.0
1,3.0,0.1,2,0.0,1000.0,0.0
1,3.0,0.1,3,0.0,1000.0,0.0
1,3.0,0.1,4,0.0,1000.0,0.0
1,3.0,0.1,5,0.0,1000.0,0.0
1,3.0,0.1,Average,,,0.0
1,4.0,0.001,1,6.0,1000.0,0.006
