layer,beta,experiment,success_count,total_prompts,final_accuracy
1,0.5,1,0.0,1000.0,0.0
1,0.5,2,0.0,1000.0,0.0
1,0.5,3,0.0,1000.0,0.0
1,0.5,4,0.0,1000.0,0.0
1,0.5,5,0.0,1000.0,0.0
1,0.5,Average,,,0.0
1,1.0,1,0.0,1000.0,0.0
1,1.0,2,0.0,1000.0,0.0
1,1.0,3,0.0,1000.0,0.0
1,1.0,4,0.0,1000.0,0.0
1,1.0,5,0.0,1000.0,0.0
1,1.0,Average,,,0.0
1,2.0,1,0.0,1000.0,0.0
1,2.0,2,0.0,1000.0,0.0
1,2.0,3,0.0,1000.0,0.0
1,2.0,4,0.0,1000.0,0.0
1,2.0,5,0.0,1000.0,0.0
1,2.0,Average,,,0.0
1,3.0,1,0.0,1000.0,0.0
1,3.0,2,0.0,1000.0,0.0
1,3.0,3,0.0,1000.0,0.0
1,3.0,4,0.0,1000.0,0.0
1,3.0,5,0.0,1000.0,0.0
1,3.0,Average,,,0.0
1,4.0,1,0.0,1000.0,0.0
1,4.0,2,0.0,1000.0,0.0
1,4.0,3,0.0,1000.0,0.0
1,4.0,4,0.0,1000.0,0.0
1,4.0,5,0.0,1000.0,0.0
1,4.0,Average,,,0.0
1,5.0,1,0.0,1000.0,0.0
1,5.0,2,0.0,1000.0,0.0
1,5.0,3,0.0,1000.0,0.0
1,5.0,4,0.0,1000.0,0.0
1,5.0,5,0.0,1000.0,0.0
1,5.0,Average,,,0.0
2,0.5,1,0.0,1000.0,0.0
2,0.5,2,0.0,1000.0,0.0
2,0.5,3,0.0,1000.0,0.0
2,0.5,4,0.0,1000.0,0.0
2,0.5,5,0.0,1000.0,0.0
2,0.5,Average,,,0.0
2,1.0,1,0.0,1000.0,0.0
2,1.0,2,0.0,1000.0,0.0
2,1.0,3,0.0,1000.0,0.0
2,1.0,4,0.0,1000.0,0.0
2,1.0,5,0.0,1000.0,0.0
2,1.0,Average,,,0.0
2,2.0,1,0.0,1000.0,0.0
2,2.0,2,0.0,1000.0,0.0
2,2.0,3,0.0,1000.0,0.0
2,2.0,4,0.0,1000.0,0.0
2,2.0,5,0.0,1000.0,0.0
2,2.0,Average,,,0.0
2,3.0,1,0.0,1000.0,0.0
2,3.0,2,0.0,1000.0,0.0
2,3.0,3,0.0,1000.0,0.0
2,3.0,4,0.0,1000.0,0.0
2,3.0,5,0.0,1000.0,0.0
2,3.0,Average,,,0.0
2,4.0,1,0.0,1000.0,0.0
2,4.0,2,0.0,1000.0,0.0
2,4.0,3,0.0,1000.0,0.0
2,4.0,4,0.0,1000.0,0.0
2,4.0,5,0.0,1000.0,0.0
2,4.0,Average,,,0.0
2,5.0,1,0.0,1000.0,0.0
2,5.0,2,0.0,1000.0,0.0
2,5.0,3,0.0,1000.0,0.0
2,5.0,4,0.0,1000.0,0.0
2,5.0,5,0.0,1000.0,0.0
2,5.0,Average,,,0.0
3,0.5,1,0.0,1000.0,0.0
3,0.5,2,0.0,1000.0,0.0
3,0.5,3,0.0,1000.0,0.0
3,0.5,4,0.0,1000.0,0.0
3,0.5,5,0.0,1000.0,0.0
3,0.5,Average,,,0.0
3,1.0,1,0.0,1000.0,0.0
3,1.0,2,0.0,1000.0,0.0
3,1.0,3,0.0,1000.0,0.0
3,1.0,4,0.0,1000.0,0.0
3,1.0,5,0.0,1000.0,0.0
3,1.0,Average,,,0.0
3,2.0,1,0.0,1000.0,0.0
3,2.0,2,0.0,1000.0,0.0
3,2.0,3,0.0,1000.0,0.0
3,2.0,4,0.0,1000.0,0.0
3,2.0,5,0.0,1000.0,0.0
3,2.0,Average,,,0.0
3,3.0,1,0.0,1000.0,0.0
3,3.0,2,0.0,1000.0,0.0
3,3.0,3,0.0,1000.0,0.0
3,3.0,4,0.0,1000.0,0.0
3,3.0,5,0.0,1000.0,0.0
3,3.0,Average,,,0.0
3,4.0,1,0.0,1000.0,0.0
3,4.0,2,0.0,1000.0,0.0
3,4.0,3,0.0,1000.0,0.0
3,4.0,4,0.0,1000.0,0.0
3,4.0,5,0.0,1000.0,0.0
3,4.0,Average,,,0.0
3,5.0,1,0.0,1000.0,0.0
3,5.0,2,0.0,1000.0,0.0
3,5.0,3,0.0,1000.0,0.0
3,5.0,4,0.0,1000.0,0.0
3,5.0,5,0.0,1000.0,0.0
3,5.0,Average,,,0.0
4,0.5,1,0.0,1000.0,0.0
4,0.5,2,0.0,1000.0,0.0
4,0.5,3,0.0,1000.0,0.0
4,0.5,4,0.0,1000.0,0.0
4,0.5,5,0.0,1000.0,0.0
4,0.5,Average,,,0.0
4,1.0,1,0.0,1000.0,0.0
4,1.0,2,0.0,1000.0,0.0
4,1.0,3,0.0,1000.0,0.0
4,1.0,4,0.0,1000.0,0.0
4,1.0,5,0.0,1000.0,0.0
4,1.0,Average,,,0.0
4,2.0,1,0.0,1000.0,0.0
4,2.0,2,0.0,1000.0,0.0
4,2.0,3,0.0,1000.0,0.0
4,2.0,4,0.0,1000.0,0.0
4,2.0,5,0.0,1000.0,0.0
4,2.0,Average,,,0.0
4,3.0,1,0.0,1000.0,0.0
4,3.0,2,0.0,1000.0,0.0
4,3.0,3,0.0,1000.0,0.0
4,3.0,4,0.0,1000.0,0.0
4,3.0,5,0.0,1000.0,0.0
4,3.0,Average,,,0.0
4,4.0,1,2.0,1000.0,0.002
4,4.0,2,0.0,1000.0,0.0
4,4.0,3,0.0,1000.0,0.0
4,4.0,4,0.0,1000.0,0.0
4,4.0,5,0.0,1000.0,0.0
4,4.0,Average,,,0.0004
4,5.0,1,3.0,1000.0,0.003
4,5.0,2,9.0,1000.0,0.009
4,5.0,3,5.0,1000.0,0.005
4,5.0,4,4.0,1000.0,0.004
4,5.0,5,4.0,1000.0,0.004
4,5.0,Average,,,0.005
5,0.5,1,0.0,1000.0,0.0
5,0.5,2,0.0,1000.0,0.0
5,0.5,3,0.0,1000.0,0.0
5,0.5,4,0.0,1000.0,0.0
5,0.5,5,0.0,1000.0,0.0
5,0.5,Average,,,0.0
5,1.0,1,0.0,1000.0,0.0
5,1.0,2,0.0,1000.0,0.0
5,1.0,3,0.0,1000.0,0.0
5,1.0,4,0.0,1000.0,0.0
5,1.0,5,0.0,1000.0,0.0
5,1.0,Average,,,0.0
5,2.0,1,28.0,1000.0,0.028
5,2.0,2,30.0,1000.0,0.03
5,2.0,3,35.0,1000.0,0.035
5,2.0,4,24.0,1000.0,0.024
5,2.0,5,30.0,1000.0,0.03
5,2.0,Average,,,0.0294
5,3.0,1,101.0,1000.0,0.101
5,3.0,2,110.0,1000.0,0.11
5,3.0,3,109.0,1000.0,0.109
5,3.0,4,97.0,1000.0,0.097
5,3.0,5,88.0,1000.0,0.088
5,3.0,Average,,,0.101
5,4.0,1,222.0,1000.0,0.222
5,4.0,2,230.0,1000.0,0.23
5,4.0,3,238.0,1000.0,0.238
5,4.0,4,214.0,1000.0,0.214
5,4.0,5,215.0,1000.0,0.215
5,4.0,Average,,,0.2238
5,5.0,1,335.0,1000.0,0.335
5,5.0,2,357.0,1000.0,0.357
5,5.0,3,370.0,1000.0,0.37
5,5.0,4,333.0,1000.0,0.333
5,5.0,5,314.0,1000.0,0.314
5,5.0,Average,,,0.3418
6,0.5,1,0.0,1000.0,0.0
6,0.5,2,0.0,1000.0,0.0
6,0.5,3,0.0,1000.0,0.0
6,0.5,4,0.0,1000.0,0.0
6,0.5,5,0.0,1000.0,0.0
6,0.5,Average,,,0.0
6,1.0,1,0.0,1000.0,0.0
6,1.0,2,0.0,1000.0,0.0
6,1.0,3,0.0,1000.0,0.0
6,1.0,4,0.0,1000.0,0.0
6,1.0,5,0.0,1000.0,0.0
6,1.0,Average,,,0.0
6,2.0,1,21.0,1000.0,0.021
6,2.0,2,28.0,1000.0,0.028
6,2.0,3,24.0,1000.0,0.024
6,2.0,4,14.0,1000.0,0.014
6,2.0,5,14.0,1000.0,0.014
6,2.0,Average,,,0.020200000000000003
6,3.0,1,173.0,1000.0,0.173
6,3.0,2,166.0,1000.0,0.166
6,3.0,3,163.0,1000.0,0.163
6,3.0,4,143.0,1000.0,0.143
6,3.0,5,154.0,1000.0,0.154
6,3.0,Average,,,0.1598
6,4.0,1,378.0,1000.0,0.378
6,4.0,2,355.0,1000.0,0.355
6,4.0,3,355.0,1000.0,0.355
6,4.0,4,321.0,1000.0,0.321
6,4.0,5,330.0,1000.0,0.33
6,4.0,Average,,,0.3478
6,5.0,1,527.0,1000.0,0.527
6,5.0,2,509.0,1000.0,0.509
6,5.0,3,532.0,1000.0,0.532
6,5.0,4,504.0,1000.0,0.504
6,5.0,5,491.0,1000.0,0.491
6,5.0,Average,,,0.5126000000000001
7,0.5,1,0.0,1000.0,0.0
7,0.5,2,0.0,1000.0,0.0
7,0.5,3,0.0,1000.0,0.0
7,0.5,4,0.0,1000.0,0.0
7,0.5,5,0.0,1000.0,0.0
7,0.5,Average,,,0.0
7,1.0,1,0.0,1000.0,0.0
7,1.0,2,11.0,1000.0,0.011
7,1.0,3,5.0,1000.0,0.005
7,1.0,4,0.0,1000.0,0.0
7,1.0,5,3.0,1000.0,0.003
7,1.0,Average,,,0.0038
7,2.0,1,58.0,1000.0,0.058
7,2.0,2,68.0,1000.0,0.068
7,2.0,3,58.0,1000.0,0.058
7,2.0,4,68.0,1000.0,0.068
7,2.0,5,64.0,1000.0,0.064
7,2.0,Average,,,0.0632
